time,episode,total_frames,epsilon,highest_reward,mean_rewards,mean_loss,estimating_reward,reward_exponent
0:00:00.756342,0,366.0,1.000,350.0,350.0,nan,True,1.0
0:00:04.913033,10,2467.0,1.000,350.0,165.0,nan,True,1.0
0:00:09.024533,20,4574.0,1.000,400.0,170.0,nan,True,1.0
0:00:13.495646,30,6866.0,1.000,400.0,155.0,nan,True,1.0
0:00:17.351692,40,8847.0,1.000,400.0,130.0,nan,True,1.0
0:00:21.898146,50,11165.0,1.000,400.0,140.0,nan,True,1.0
0:00:25.023087,60,12761.0,1.000,400.0,80.0,nan,True,1.0
0:00:29.681314,70,15137.0,1.000,400.0,180.0,nan,True,1.0
0:00:33.597429,80,17124.0,1.000,400.0,170.0,nan,True,1.0
0:00:38.499838,90,19625.0,1.000,600.0,195.0,nan,True,1.0
0:00:42.493504,100,21662.0,1.000,600.0,175.0,nan,True,1.0
0:00:46.511407,110,23714.0,1.000,600.0,100.0,nan,True,1.0
0:00:50.930029,120,25982.0,1.000,600.0,180.0,nan,True,1.0
0:00:55.862485,130,28497.0,1.000,600.0,210.0,nan,True,1.0
0:01:00.619498,140,30943.0,1.000,600.0,170.0,nan,True,1.0
0:01:05.081550,150,33212.0,1.000,600.0,195.0,nan,True,1.0
