time,episode,total_frames,epsilon,highest_reward,mean_rewards,mean_loss,estimating_reward,reward_exponent
0:00:00.655498,0,342.0,1.000,450.0,450.0,nan,True,1.0
0:00:05.761006,10,3025.0,1.000,550.0,255.0,nan,True,1.0
0:00:10.603195,20,5550.0,1.000,550.0,240.0,nan,True,1.0
0:00:15.156072,30,7938.0,1.000,550.0,235.0,nan,True,1.0
0:00:20.173159,40,10548.0,1.000,550.0,255.0,nan,True,1.0
0:00:25.131125,50,13155.0,1.000,550.0,250.0,nan,True,1.0
0:00:29.460929,60,15434.0,1.000,550.0,200.0,nan,True,1.0
0:00:35.186339,70,18412.0,1.000,550.0,345.0,nan,True,1.0
0:00:41.138426,80,21546.0,1.000,550.0,355.0,nan,True,1.0
0:00:46.070476,90,24140.0,1.000,550.0,285.0,nan,True,1.0
0:00:51.084741,100,26773.0,1.000,550.0,290.0,nan,True,1.0
0:00:56.252014,110,29484.0,1.000,650.0,295.0,nan,True,1.0
0:01:00.894102,120,31894.0,1.000,650.0,240.0,nan,True,1.0
